word,label,is_ne
Patuloy,FIL,
na,FIL,
binabantayan,FIL,
ng,FIL,
mga,FIL,
eksperto,FIL,
ang,FIL,
Tropical,ENG,
Storm,ENG,
Fung-Wong,OTH,NE
",",OTH,
na,FIL,
tatawaging,FIL,
"""",OTH,
Uwan,OTH,NE
"""",OTH,
kapag,FIL,
nakapasok,FIL,
na,FIL,
sa,FIL,
Philippine,OTH,NE
Area,OTH,NE
of,ENG,
Responsibility,OTH,NE
(,OTH,
PAR,OTH,ABB_NE
),OTH,
.,OTH,
Huli,FIL,
itong,FIL,
namataan,FIL,
sa,FIL,
layong,FIL,
"1,660",OTH,
kilometro,FIL,
silangan,FIL,
ng,FIL,
hilagang-silangang,FIL,
Mindanao,OTH,NE
.,OTH,
Taglay,FIL,
nito,FIL,
ang,FIL,
lakas,FIL,
ng,FIL,
hangin,FIL,
na,FIL,
75,OTH,
km/h,OTH,ABB
malapit,FIL,
sa,FIL,
gitna,FIL,
",",OTH,
at,FIL,
may,FIL,
pagbugso,FIL,
ng,FIL,
hangin,FIL,
na,FIL,
umaabot,FIL,
sa,FIL,
90,OTH,
km/h,OTH,ABB
.,OTH,
Batay,FIL,
sa,FIL,
obserbasyon,FIL,
ng,FIL,
state,ENG,
weather,ENG,
bureau,ENG,
",",OTH,
halos,FIL,
hindi,FIL,
umuusad,FIL,
ang,FIL,
sama,FIL,
ng,FIL,
panahon,FIL,
sa,FIL,
mga,FIL,
nakalipas,FIL,
na,FIL,
oras,FIL,
.,OTH,
#,OTH,
ADMUFreedomWall,OTH,NE
If,ENG,
puro,FIL,
lang,FIL,
ideals,ENG,
ang,FIL,
isang,FIL,
political,ENG,
party,ENG,
",",OTH,
useless,ENG,
ito,FIL,
.,OTH,
Pragmatism,ENG,
brings,ENG,
victory,ENG,
",",OTH,
not,ENG,
fancy,ENG,
ideals,ENG,
and,ENG,
unrealistic,ENG,
principles,ENG,
.,OTH,
I'm,ENG,
saying,ENG,
this,ENG,
as,ENG,
a,ENG,
frustrated,ENG,
voter,ENG,
.,OTH,
Nakakainis,FIL,
makita,FIL,
na,FIL,
laging,FIL,
talo,FIL,
yung,FIL,
mga,FIL,
partido,FIL,
na,FIL,
may,FIL,
prinsipyo,FIL,
pero,FIL,
walang,FIL,
diskarte,FIL,
.,OTH,
For,ENG,
instance,ENG,
",",OTH,
other,ENG,
partylists,ENG,
usually,ENG,
give,ENG,
financial,ENG,
and,ENG,
medical,ENG,
assistance,ENG,
sa,FIL,
mga,FIL,
supporters,ENG,
nila,FIL,
.,OTH,
That,ENG,
is,ENG,
",",OTH,
they,ENG,
directly,ENG,
help,ENG,
people,ENG,
",",OTH,
and,ENG,
knowing,ENG,
the,ENG,
masses,ENG,
",",OTH,
di,FIL,
mo,FIL,
sila,FIL,
masisi,FIL,
bakit,FIL,
di,FIL,
sila,FIL,
makahintay,FIL,
sa,FIL,
long,ENG,
term,ENG,
benefits,ENG,
in,ENG,
the,ENG,
form,ENG,
of,ENG,
laws,ENG,
ang,FIL,
policies,ENG,
.,OTH,
Meanwhile,ENG,
",",OTH,
ang,FIL,
mga,FIL,
progressive,ENG,
parties,ENG,
naman,FIL,
ay,FIL,
puro,FIL,
lang,FIL,
discussion,ENG,
ang,FIL,
ginagawa,FIL,
",",OTH,
tapos,FIL,
parang,FIL,
kung,FIL,
sino,FIL,
na,FIL,
yung,FIL,
supporters,ENG,
already,ENG,
lang,FIL,
ang,FIL,
nag,FIL,
aattend,FIL,
.,OTH,
They,ENG,
don't,ENG,
even,ENG,
try,ENG,
doing,ENG,
moves,ENG,
like,ENG,
putting,ENG,
their,ENG,
names,ENG,
in,ENG,
projects,ENG,
para,FIL,
maalala,FIL,
mga,FIL,
pangalan,FIL,
nila,FIL,
.,OTH,
Additionally,ENG,
",",OTH,
ang,FIL,
hilig,FIL,
din,FIL,
nila,FIL,
to,ENG,
take,ENG,
stances,ENG,
on,ENG,
divisive,ENG,
issues,ENG,
kesa,FIL,
magfocus,FIL,
sa,FIL,
mga,FIL,
issue,ENG,
na,FIL,
agree,ENG,
ang,FIL,
lahat,FIL,
.,OTH,
I'm,ENG,
not,ENG,
saying,ENG,
you,ENG,
drop,ENG,
your,ENG,
principles,ENG,
",",OTH,
pero,FIL,
at,ENG,
least,ENG,
during,ENG,
elections,ENG,
ay,FIL,
mag,FIL,
appeal,ENG,
kayo,FIL,
to,ENG,
all,ENG,
kinds,ENG,
of,ENG,
voters,ENG,
at,FIL,
bago,FIL,
na,FIL,
kayo,FIL,
magpairal,FIL,
ng,FIL,
prinsipyo,FIL,
niyo,FIL,
once,ENG,
secured,ENG,
na,FIL,
ang,FIL,
panalo,FIL,
.,OTH,
For,ENG,
instance,ENG,
",",OTH,
those,ENG,
parties,ENG,
or,ENG,
candidates,ENG,
na,FIL,
nagsasabi,FIL,
agad,FIL,
ng,FIL,
support,ENG,
for,ENG,
SOGIE,OTH,ABB_NE
Bill,OTH,NE
which,ENG,
always,ENG,
creates,ENG,
issue,ENG,
whether,ENG,
agree,ENG,
sila,FIL,
or,ENG,
hindi,FIL,
.,OTH,
When,ENG,
your,ENG,
friends,ENG,
think,ENG,
"""",OTH,
not,ENG,
getting,ENG,
their,ENG,
way,ENG,
"""",OTH,
is,ENG,
a,ENG,
personal,ENG,
attack,ENG,
||,OTH,
Swear,ENG,
",",OTH,
I,ENG,
love,ENG,
my,ENG,
friends,ENG,
gyud,FIL,
but,ENG,
bruhh,OTH,EXPR
...,OTH,
it's,ENG,
getting,ENG,
exhausting,ENG,
.,OTH,
Every,ENG,
time,ENG,
plans,ENG,
change,ENG,
or,ENG,
they,ENG,
don't,ENG,
get,ENG,
what,ENG,
they,ENG,
want,ENG,
",",OTH,
boomm,OTH,EXPR
!,OTH,
instant,ENG,
silent,ENG,
treatment,ENG,
man,FIL,
dayon,FIL,
(,OTH,
abi,FIL,
ko,FIL,
bag,FIL,
uyab,FIL,
ray,FIL,
suyoon,FIL,
HAHAHAHA,OTH,EXPR
tsar,OTH,EXPR
),OTH,
.,OTH,
Like,ENG,
",",OTH,
not,ENG,
everything's,ENG,
a,ENG,
betrayal,ENG,
???,OTH,
Sometimes,ENG,
things,ENG,
just,ENG,
don't,ENG,
go,ENG,
as,ENG,
planned,ENG,
lang,FIL,
gyud,FIL,
",",OTH,
and,ENG,
it's,ENG,
not,ENG,
that,ENG,
deep,ENG,
||,OTH,
strawfairiee,OTH,NE
:,OTH,
Anyone,ENG,
else,ENG,
dealing,ENG,
with,ENG,
emotionally,ENG,
high-maintenance,ENG,
friends,ENG,
lately,ENG,
?,OTH,
||,OTH,
AcanthisittaThis1600,OTH,NE
replied,ENG,
:,OTH,
murag,FIL,
||,OTH,
strawfairiee,OTH,NE
replied,ENG,
:,OTH,
makahiubos,FIL,
kaayo,FIL,
kay,FIL,
wala,FIL,
rako,FIL,
kauban,FIL,
pangaligo,FIL,
nila,FIL,
",",OTH,
nalain,FIL,
na,FIL,
HAHAH,OTH,EXPR
valid,ENG,
sad,FIL,
ako,FIL,
reason,ENG,
di,FIL,
lang,FIL,
sila,FIL,
kasabot,FIL,
MAGSASAGAWA,FIL,
ng,FIL,
masusing,FIL,
imbestigasyon,FIL,
ang,FIL,
Department,OTH,NE
of,ENG,
Environment,OTH,NE
and,ENG,
National,OTH,NE
Resources,OTH,NE
(,OTH,
DENR,OTH,ABB_NE
),OTH,
sa,FIL,
kontrobersyal,FIL,
na,FIL,
Monterrazas,OTH,NE
de,OTH,
Cebu,OTH,NE
ni,FIL,
Slater,OTH,NE
Young,OTH,NE
.,OTH,
Ang,FIL,
naturang,FIL,
proyekto,FIL,
kasi,FIL,
ng,FIL,
grupo,FIL,
ng,FIL,
engineer,ENG,
at,FIL,
"""",OTH,
Pinoy,OTH,NE
Big,OTH,NE
Brother,OTH,NE
:,OTH,
Unlimited,OTH,NE
"""",OTH,
Big,ENG,
Winner,ENG,
na,FIL,
si,FIL,
Slater,OTH,NE
sa,FIL,
nasabing,FIL,
probinsya,FIL,
ang,FIL,
sinisisi,FIL,
sa,FIL,
matinding,FIL,
pagbaha,FIL,
dulot,FIL,
ng,FIL,
bagyong,FIL,
Tino,OTH,NE
.,OTH,
Sa,FIL,
Facebook,OTH,NE
page,ENG,
ng,FIL,
DENR,OTH,ABB_NE
",",OTH,
mababasa,FIL,
ang,FIL,
kanilang,FIL,
official,ENG,
statement,ENG,
hinggil,FIL,
sa,FIL,
issue,ENG,
kasabay,FIL,
ng,FIL,
pagpapakilala,FIL,
sa,FIL,
mga,FIL,
ahensiyang,FIL,
magiging,FIL,
bahagi,FIL,
ng,FIL,
imbestigasyon,FIL,
.,OTH,
Bukod,FIL,
dito,FIL,
",",OTH,
inutusan,FIL,
na,FIL,
rin,FIL,
ng,FIL,
DENR,OTH,ABB_NE
ang,FIL,
project,ENG,
proponent,ENG,
na,FIL,
agad,FIL,
iulat,FIL,
ang,FIL,
"""",OTH,
Engineering,ENG,
",",OTH,
Geological,ENG,
",",OTH,
and,ENG,
Geohazard,ENG,
Assessment,ENG,
.,OTH,
"""",OTH,
.,OTH,
"""",OTH,
Compliance,ENG,
to,ENG,
this,ENG,
requirement,ENG,
will,ENG,
be,ENG,
validated,ENG,
by,ENG,
the,ENG,
joint,ENG,
inspection,ENG,
team,ENG,
",",OTH,
"""",OTH,
sabi,FIL,
pa,FIL,
ng,FIL,
ahensya,FIL,
.,OTH,
